%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1491900748661027709,204,1491900748658909687,,0,0,46.5184707642,6.56662988663,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748760227358,205,1491900748758881317,,0,0,46.5184707642,6.56662988663,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748860556123,206,1491900748858921487,,0,0,46.5184745789,6.56663036346,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748960251711,207,1491900748958931606,,0,0,46.5184745789,6.56663036346,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749060299902,208,1491900749058913704,,0,0,46.5184745789,6.56663036346,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749160080802,209,1491900749158883823,,0,0,46.5184745789,6.56663036346,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749260735452,210,1491900749258925712,,0,0,46.5184745789,6.56663036346,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749360744425,211,1491900749358895362,,0,0,46.5184745789,6.56663036346,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749460614648,212,1491900749458910012,,0,0,46.5184707642,6.56662988663,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749560089298,213,1491900749558884610,,0,0,46.5184707642,6.56662988663,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749660282646,214,1491900749658913114,,0,0,46.5184707642,6.56662940979,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900749760841827,215,1491900749758893910,,0,0,46.5184707642,6.56662940979,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
